Ro	tau	E	lat	lon
0.589521065	0	0.0	38.88078226	22.52134136
0.016563515	0	0.0	38.88085407	22.5213625
0.028614766	0	0.0	38.88073103	22.52202678
0.816244425	0	0.0	38.87478778	22.48524611
0.249629742	0	0.0	38.87647	22.48506167
0.223484927	0	0.0	38.88001167	22.48478833
0.064879884	0	0.0	38.88082889	22.48487
0.131006373	0	0.0	38.88214833	22.48463167
0.534140448	0	0.0	38.88344667	22.48446111
0.03312311	0	0.0	38.88482333	22.52179333
0.005252066	0	0.0	38.88486333	22.52178833
0.182438268	0	0.0	38.88758167	22.51769
0.034089285	0	0.0	38.8878	22.5172
0.010274203	0	0.0	38.889705	22.51636
0.054799744	0	0.0	38.88905333	22.51851667
0.115057057	0	0.0	38.88906833	22.51849
0.009278324	0	0.0	38.88879333	22.51914667
0.228218759	0	0.0	38.8908675	22.51695333
0.133997869	0	0.0	38.89087083	22.5169625
0.230558182	0	0.0	38.89026333	22.51911417
0.218181389	0	0.0	38.89219	22.51772167
0.016323873	0	0.0	38.89219333	22.51767833
0.040133151	0	0.0	38.89174833	22.51887667
0.579767823	0	0.0	38.87876278	22.48971944
0.012600949	0	0.0	38.8415925	22.53110083
0.167312775	0	0.0	38.84191298	22.53296909
1.034368482	0.06763894	99.8	38.8414625	22.53365917
0.273273343	0	0.0	38.8411825	22.53418833
0.341098637	0	0.0	38.84189833	22.5368175
0.117603409	0	0.0	38.84328833	22.53732667
0.271294941	0	0.0	38.842615	22.53954833
0.151726732	0	0.0	38.84313667	22.5421
0.15526951	0	0.0	38.84225333	22.53876667
0.120433402	0	0.0	38.8733845	22.49280236
0.445741096	0	0.0	38.87264073	22.49282792
0.345702542	0	0.0	38.8707284	22.49339891
0.109546342	0	0.0	38.84219083	22.542825
1.718479915	0.6994887	1031.7	38.86948524	22.49331022
0.005753633	0	0.0	38.88230754	22.49379133
0.610458431	0	0.0	38.88212698	22.49367036
0.126364836	0	0.0	38.88177088	22.49369479
0.022061025	0	0.0	38.88120529	22.49387104
0.153819499	0	0.0	38.88043249	22.49403315
0.408306297	0	0.0	38.87856286	22.49426726
0.005038614	0	0.0	38.87840892	22.49421782
0.105470468	0	0.0	38.87729996	22.49436008
0.069735723	0	0.0	38.87555001	22.49476759
0.005725486	0	0.0	38.87455449	22.49474423
0.018071585	0	0.0	38.87347339	22.49493534
0.054912327	0	0.0	38.87260528	22.4952355
0.1570803	0	0.0	38.88073718	22.49625712
0.01158252	0	0.0	38.88040901	22.49623354
0.029058556	0	0.0	38.87871056	22.49670245
0.078725813	0	0.0	38.87781523	22.49660699
0.20618924	0	0.0	38.87533177	22.49700099
1.687673003	0.6855651	1011.2	38.8745227	22.49711705
0.091953512	0	0.0	38.87079241	22.49768382
0.005958971	0	0.0	38.87042432	22.49774993
0.02277369	0	0.0	38.87042524	22.49774834
0.01916071	0	0.0	38.88149575	22.49815972
0.007824326	0	0.0	38.88029642	22.49838791
0.011789144	0	0.0	38.87968882	22.49843354
0.005386328	0	0.0	38.87903018	22.49857538
0.03180338	0	0.0	38.87573321	22.49907614
0.508886287	0	0.0	38.87560857	22.49910616
0.079490277	0	0.0	38.87411238	22.49942973
0.469173071	0	0.0	38.872961	22.49957164
0.098956177	0	0.0	38.82296325	22.49955442
0.044432713	0	0.0	38.87199682	22.49974584
0.1977782	0	0.0	38.82296101	22.49963943
0.870872473	0	0.0	38.82516217	22.50471818
0.006880076	0	0.0	38.82536559	22.50466428
0.094426584	0	0.0	38.82530697	22.50770112
0.132012061	0	0.0	38.82560096	22.50837887
0.205630339	0	0.0	38.82564963	22.50838204
0.372408401	0	0.0	38.82557682	22.50973805
0.046610362	0	0.0	38.82495571	22.50215191
0.334084262	0	0.0	38.82723736	22.49857171
0.097573226	0	0.0	38.82406616	22.50785661
0.401487068	0	0.0	38.82381687	22.5059443
0.265254375	0	0.0	38.82867023	22.50857174
0.01670532	0	0.0	38.82472023	22.50325859
0.013094959	0	0.0	38.82937502	22.51361473
0.011125054	0	0.0	38.82965549	22.51430418
0.003426239	0	0.0	38.82489726	22.50478785
0.023360987	0	0.0	38.84167721	22.5101961
0.013215305	0	0.0	38.84115809	22.50599778
0.067942333	0	0.0	38.83855968	22.4973869
0.379798439	0	0.0	38.83863782	22.498807
2.20791907	0.8454744	1247.1	38.8386498	22.49890254
0.005428664	0	0.0	38.83871439	22.49930885
0.132630884	0	0.0	38.83880877	22.49997999
0.015819749	0	0.0	38.83904592	22.5016204
0.11322237	0	0.0	38.83980045	22.50695988
1.55732147	0.6183397	912.1	38.83991712	22.50789962
0.709050716	0	0.0	38.84000995	22.50828249
0.025458211	0	0.0	38.8417782	22.51020176
0.285839105	0	0.0	38.8415503	22.50912981
0.085285972	0	0.0	38.84144979	22.50824682
0.146881527	0	0.0	38.84129871	22.50740822
0.010509885	0	0.0	38.84127277	22.5073702
0.099354359	0	0.0	38.84103431	22.50524803
0.009330778	0	0.0	38.84111975	22.50522447
1.072600601	0.1338302	197.4	38.84093466	22.50446913
0.01258749	0	0.0	38.84010048	22.49796825
0.010330124	0	0.0	38.85058227	22.49318558
0.100068841	0	0.0	38.85072782	22.49417931
0.087533238	0	0.0	38.85083084	22.49484009
0.023967177	0	0.0	38.85090582	22.49536537
0.042633601	0	0.0	38.85174138	22.50210943
0.151318868	0	0.0	38.85216333	22.50545333
3.007990537	0.941037	1388.0	38.852315	22.50633
0.029457728	0	0.0	38.85236167	22.5062825
0.300064789	0	0.0	38.8526	22.50842833
0.366272608	0	0.0	38.85568267	22.50812568
0.005556457	0	0.0	38.85581219	22.50934313
0.092431696	0	0.0	38.85621	22.51136417
0.143405817	0	0.0	38.85756583	22.5111175
0.134344385	0	0.0	38.85752917	22.511175
0.026321544	0	0.0	38.85760917	22.51205542
0.509803762	0	0.0	38.85760667	22.51265875
0.07389521	0	0.0	38.8563125	22.51275167
0.022452581	0	0.0	38.857955	22.51378667
0.006407164	0	0.0	38.85774083	22.51490125
0.01990394	0	0.0	38.85812042	22.51563792
0.01571494	0	0.0	38.85786208	22.51567542
0.054100825	0	0.0	38.85831667	22.51731
0.301640766	0	0.0	38.85829625	22.51742792
0.028253316	0	0.0	38.85800125	22.51739917
